,cell,treatment,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME16,ME17,ME18,ME19,ME20,ME21,ME22,ME23,ME24
1,SK-OV-3,Ctrl,-0.047016803,-0.112722451,0.054838419,-0.044550452,0.036418716,0.010234086,-0.01347319,0.090650836,-0.043963099,0.012160516,0.060156411,-0.033794784,0.04460613,-0.064662719,-0.053816362,-0.026979612,-0.041670364,-0.0171611,0.330226805,-0.070038923,-0.030471115,0.053616561,0.007973248
2,SK-OV-3,Ctrl,-0.044402853,-0.070218452,0.055160286,-0.039788082,0.036498672,-0.0004887,-0.006654972,0.08730149,-0.040329078,0.014004482,0.048874778,-0.036420674,0.045895882,-0.061283278,-0.050382346,-0.020288406,-0.041882082,6.33E-05,0.313392299,-0.042291208,-0.036416069,0.075525569,0.00238633
3,SK-OV-3,Ctrl,-0.04745305,-0.125146384,0.055242906,-0.046864269,0.037137267,0.011333375,-0.015133598,0.093144099,-0.038080049,0.008889055,0.064970057,-0.034621786,0.044730452,-0.066299701,-0.061643471,-0.033707543,-0.047313718,-0.004851643,0.330919034,-0.079470809,-0.062287218,0.060523568,0.015333199
4,TOV-21G,Ctrl,-0.028464217,-0.019654424,0.035947858,-0.018352788,0.027661262,-0.068652221,-0.04317052,0.032232297,-0.023966465,0.099510455,-0.001348136,0.002052998,0.018337864,-0.078249804,-0.014377902,-0.034245887,-0.016419955,-0.021103602,-0.007678932,-0.072413851,-0.023897649,-0.047520567,-0.023562787
5,TOV-21G,Ctrl,-0.03056613,-0.063707012,0.033438488,-0.021459882,0.027965531,-0.066376393,-0.048651272,0.03029758,-0.02031434,0.100872342,0.011401916,5.85E-05,0.01643486,-0.081692847,-0.01930253,-0.040836387,-0.025767443,-0.032912572,-0.002474136,-0.083587193,-0.036667069,-0.032256642,0.010288483
6,TOV-21G,Ctrl,-0.026669198,0.028969225,0.033745098,-0.0111594,0.026935273,-0.078480188,-0.039684021,0.02642429,-0.019902824,0.105544099,-0.009418592,0.00360969,0.018601375,-0.073389277,-0.002119828,-0.033147756,-0.016080425,-0.02381686,-0.011449361,-0.046431264,-0.009701289,-0.037066426,-0.032504055
7,OVISE,Ctrl,-0.040366472,0.024090478,0.02271523,-0.016814005,0.036130523,-0.101963946,0.096379913,-0.057646201,-0.030596235,0.207728679,0.017344918,-0.034250316,0.087484793,-0.03275127,-0.02660859,-0.012870189,-0.022802034,-0.037452147,-0.029498218,0.001563669,0.282684278,-0.035627542,-0.07594588
8,OVISE,Ctrl,-0.041317412,-0.00301601,0.022859841,-0.023730558,0.034503148,-0.09489117,0.095506443,-0.059311008,-0.034192195,0.206056123,0.028013625,-0.036389942,0.088096351,-0.03418353,-0.038395492,-0.019645047,-0.030834651,-0.033068961,-0.016191095,-0.014814858,0.330550956,-0.04253166,-0.113109577
9,OVISE,Ctrl,-0.037754501,0.028887901,0.021659891,-0.017316762,0.033813244,-0.101717662,0.098009952,-0.060623185,-0.027772284,0.207281667,0.014856466,-0.032845634,0.087901132,-0.031894534,-0.026443452,-0.011076285,-0.019334439,-0.028515923,-0.02773819,0.015275752,0.309734697,-0.019977145,-0.11110537
10,TOV-112D,Ctrl,0.035902094,0.038288993,-0.107318896,-0.016448814,0.008600903,0.124491101,-0.095041912,-0.047233884,0.040843609,-0.065926044,0.069772588,0.264583135,-0.129220082,-0.054443656,0.070760267,-0.034142198,-0.028278807,0.084969204,-0.03500552,0.015901802,-0.020927726,-0.067361236,0.041961986
11,TOV-112D,Ctrl,0.03442791,0.021694675,-0.106452608,-0.016078421,0.008688261,0.121188216,-0.094023723,-0.046094551,0.045441905,-0.067868105,0.065841177,0.265958934,-0.131014241,-0.060793072,0.06799759,-0.018872255,-0.027976469,0.065373617,-0.023703615,0.012404845,-0.013233213,-0.065427585,0.091214092
12,TOV-112D,Ctrl,0.033128377,-0.017540955,-0.106051845,-0.022972224,0.008989855,0.12635695,-0.102888427,-0.048021803,0.043184643,-0.070891769,0.077754124,0.277401764,-0.128466127,-0.065932047,0.068134565,-0.034943496,-0.030826909,0.09658742,-0.041691246,0.022278213,-0.029345436,-0.059594919,0.119152745
13,OV56,Ctrl,-0.053815371,-0.109232456,0.048833703,-0.026792704,0.036211677,-0.003507732,-0.056274934,0.121479518,-0.030821634,0.073083526,-0.049542063,-0.031150958,0.029878466,-0.091685839,-0.049474192,-0.03376062,-0.011104514,-0.156509338,0.001773657,-0.212798799,-0.04882312,0.057380473,-0.080935054
14,OV56,Ctrl,-0.05049,-0.082678724,0.049215779,-0.027840082,0.037587707,-0.004835677,-0.052579715,0.123414604,-0.02879794,0.073523221,-0.054535417,-0.035896771,0.030347613,-0.078111629,-0.062756721,-0.032935038,-0.008082744,-0.15480051,0.009606292,-0.207974742,-0.060874384,0.065892373,-0.081488241
15,OV56,Ctrl,-0.052007595,-0.091260375,0.050096402,-0.025698733,0.038296661,-0.008651349,-0.051752885,0.125832855,-0.026918438,0.073255133,-0.059762649,-0.035828463,0.030565436,-0.082029893,-0.059236719,-0.028551572,-0.005534266,-0.134905186,0.008195152,-0.206822361,-0.037276277,0.06331649,-0.091986933
16,COV362,Ctrl,-0.052215649,-0.076075392,0.056425265,-0.038950343,0.024577599,-0.005274511,0.041106857,0.092854267,-0.029091967,-0.04762044,-0.035824223,-0.048401873,0.044926734,0.001753161,-0.063209941,-0.002501867,-0.000222444,-0.11755081,-0.026013894,-0.041774204,-0.071763603,0.047119178,-0.034277864
17,COV362,Ctrl,-0.053663344,-0.132140056,0.056952624,-0.045046,0.02515447,-0.003718776,0.036631409,0.094701081,-0.031246743,-0.047150237,-0.025588513,-0.046969773,0.043139249,-0.010614371,-0.08833359,0.005163581,0.00064901,-0.096278813,-0.028161107,-0.08020927,-0.119670242,0.083815723,-0.038247827
18,COV362,Ctrl,-0.052705013,-0.118158989,0.056526271,-0.040816658,0.025000805,-0.003905956,0.038288849,0.095836166,-0.031992807,-0.048938234,-0.027036619,-0.049315392,0.043250928,-0.011409123,-0.085170028,0.005062323,0.002500793,-0.095687688,-0.023903102,-0.091413561,-0.096913161,0.032566059,-0.019752839
19,COV504,Ctrl,-0.053736543,-0.045438712,0.052450439,-0.010770746,0.034234933,-0.003400738,-0.002368965,0.154054907,-0.01766137,-0.066779933,0.020577686,-0.037776827,0.014966531,-0.003488326,-0.039838025,-0.0014898,-0.014378927,-0.087650053,0.071051356,-0.038097134,-0.043290392,0.108549155,0.1144302
20,COV504,Ctrl,-0.054922569,-0.080417209,0.053418096,-0.019230792,0.033595988,0.003993563,-0.006475069,0.149871685,-0.024181353,-0.059453436,0.021257617,-0.029558682,0.014924137,0.000631874,-0.048403365,0.003984933,-0.013040494,-0.093573938,0.05822984,-0.03544372,-0.011779206,0.116613661,0.143447435
